STATE,YEAR,DISORDER,MALE_DEATHS,FEMALE_DEATHS,POPULATION,POPN_PERCENTAGE,,zscore male,zscore female,zscore popn
MEGHALAYA,2019,PSYCHOACTIVE SUBSTANCE USE,68,3,3366710,0.245501483,,0.790234689,-2.34256E-07,-0.730327322
MIZORAM,2019,PSYCHOACTIVE SUBSTANCE USE,9,0,1239244,0.090366037,,-0.247961792,-3.41191E-07,-0.774018392
NAGALAND,2019,PSYCHOACTIVE SUBSTANCE USE,0,0,2249695,0.164048421,,-0.406330746,-3.41191E-07,-0.753267092
ODISHA,2019,PSYCHOACTIVE SUBSTANCE USE,82,2,46356334,3.380317507,,1.036586396,-2.69901E-07,0.152536454
PUDUCHERRY,2019,PSYCHOACTIVE SUBSTANCE USE,6,3,1413542,0.103075898,,-0.300751443,-2.34256E-07,-0.770438891
PUNJAB,2019,PSYCHOACTIVE SUBSTANCE USE,35,1,30141373,2.197917783,,0.209548522,-3.05546E-07,-0.180464869
RAJASTHAN,2019,PSYCHOACTIVE SUBSTANCE USE,9,1,81032689,5.908927511,,-0.247961792,-3.05546E-07,0.864673358
SIKKIM,2019,PSYCHOACTIVE SUBSTANCE USE,2,1,690251,0.050333306,,-0.371137645,-3.05546E-07,-0.785292881
TAMIL NADU,2019,PSYCHOACTIVE SUBSTANCE USE,109,9,77841267,5.676208081,,1.51169326,-2.03853E-08,0.799132174
TELANGANA,2019,PSYCHOACTIVE SUBSTANCE USE,11,1,39362732,2.870341993,,-0.212768691,-3.05546E-07,0.008911149
TRIPURA,2019,PSYCHOACTIVE SUBSTANCE USE,6,0,4169794,0.304062605,,-0.300751443,-3.41191E-07,-0.71383465
UTTARAKHAND,2019,PSYCHOACTIVE SUBSTANCE USE,37,1,1125858,0.082097896,,0.244741623,-3.05546E-07,-0.776346963
WEST BENGAL,2019,PSYCHOACTIVE SUBSTANCE USE,12,1,99609303,7.263539667,,-0.19517214,-3.05546E-07,1.246175173
ANDHRA PRADESH,2020,PSYCHOACTIVE SUBSTANCE USE,4,5,53206421,3.93949323,,-0.335944544,-1.62966E-07,0.293214439
ANDAMAN & NICOBAR ,2020,PSYCHOACTIVE SUBSTANCE USE,11,0,379944,0.028131695,,-0.212768691,-3.41191E-07,-0.791665553
ARUNACHAL PRADESH,2020,PSYCHOACTIVE SUBSTANCE USE,0,0,1382611,0.102370852,,-0.406330746,-3.41191E-07,-0.771074111
ASSAM,2020,PSYCHOACTIVE SUBSTANCE USE,0,0,31169272,2.307825517,,-0.406330746,-3.41191E-07,-0.159355245
BIHAR,2020,PSYCHOACTIVE SUBSTANCE USE,0,0,138864915,10.28179273,,-0.406330746,-3.41191E-07,2.052354773
CHANDIGARH,2020,PSYCHOACTIVE SUBSTANCE USE,33,0,1545116,0.114402997,,0.174355421,-3.41191E-07,-0.767736799
CHHATTISGARH,2020,PSYCHOACTIVE SUBSTANCE USE,54,10,25540196,1.891039227,,0.543882982,1.52599E-08,-0.274957729
DELHI,2020,PSYCHOACTIVE SUBSTANCE USE,11,12,20188648,1.494801579,,-0.212768691,8.65501E-08,-0.384860711
DAMAN & DIU,2020,PSYCHOACTIVE SUBSTANCE USE,1,0,242911,0.017985541,,-0.388734196,-3.41191E-07,-0.794479755
GOA,2020,PSYCHOACTIVE SUBSTANCE USE,9,0,1457723,0.107932272,,-0.247961792,-3.41191E-07,-0.76953156
